????-????-???? | 2A6FY-BR577-H0DD3-RIK2Z
????-????-???? | RU9FW-MTKTX-TRWWF-JGHXN
????-????-???? | KL90P-X1UYO-VNYP7-PZR3C
????-????-???? | JEJEB-R29FC-E3PEF-CQ1IE
%%%%-%%%%-%%%% | VEXXA-CIVGB-RCA3B-EPV8S
####-####-#### | O4T1S-6DDOB-25U2J-121M3
%%%%-%%%%-%%%% | 809Q2-EBOXP-PDDL3-3QN7M
????-####-%%%% | OK25C-D5M4S-9Y6C7-SHLLE
????-####-%%%% | P1Z0X-WSFQ2-HRG5M-X0M72
????-####-%%%% | 96V7R-4PIU2-DJI9J-YA049
????-????-???? | U9JW6-UMIMX-5AYRN-173QI
????-####-%%%% | QB5KQ-5QG0A-L6GGV-316DK
????-????-???? | 23RLE-P5XYJ-E79X6-R5LH5
####-####-#### | D6A5X-G9MXZ-315A3-68BWL
????-####-%%%% | ME8TA-MBEYS-CP7IT-IRK9S
####-####-#### | KI17B-461YW-CSR9F-8WESE
%%%%-%%%%-%%%% | B6KEU-26F9T-TFN2L-A3Z4B
####-####-#### | 0ZPI3-JV7HZ-CSD2S-XL65L
####-####-#### | YPBQL-9ZABR-XR4AW-BHVFO
####-####-#### | 70U37-2H45M-B2ZP7-DZO5V
####-####-#### | FG79J-H4Y5F-YKEIT-SYDJW
####-####-#### | FTK6I-S9P2B-0RE0P-N897X
####-####-#### | G84WB-PJQG6-I29LA-8GNBI
####-####-#### | U5XTT-93O4W-3NB8F-LJ8D9
####-####-#### | DVJ8J-FJK5R-1DQMT-M00M9
****-****-**** | 9NFHZ-8K00Y-EWAMY-S4TNY
????-????-???? | 9J1VQ-TDRZY-3ZVVM-9B3X1
????-####-%%%% | BOQMX-266BD-TIYNJ-DO2KW
????-####-%%%% | 8BYSO-362IE-VBSRK-NKVLO
????-####-%%%% | EREMS-WV4V1-PKWDC-WDQKK
####-####-#### | 7FEX5-EIJY5-6Z9UV-PZ8DP
%%%%-%%%%-%%%% | TXPGZ-KCLBN-5LI12-K10P3
%%%%-%%%%-%%%% | 3JQ2I-6SU6R-8M9O5-RFSTG
????-????-???? | XJF0Q-3ENVK-QN0FL-8MUG5
####-####-#### | Z7WED-7W0B5-2VZNA-ODLG4
????-####-%%%% | VGB9N-8VMPW-SH9KX-P1E0L
****-****-**** | 0NPCK-HGOXR-HLIVF-59PBJ
####-####-#### | 36P0U-IAY96-5RUSD-UNH6V
####-####-#### | 9YTHK-5I22M-RHNN8-EN6GM
####-####-#### | CP5L5-ITFZ7-M8Y4O-D2YJJ
????-????-???? | SHI4N-IT3JA-BFDQV-2JUUE
????-####-%%%% | 4Z2DC-2DBKG-FO3WI-VWCZ0
####-####-#### | UM2M1-GIVRZ-9LU47-M5KLS
%%%%-%%%%-%%%% | SN1OH-QCXGD-EZO13-D1LJL
????-####-%%%% | GMMM5-1KEU3-BQRIR-L6N2F
????-????-???? | QDPSU-JVIK8-YM200-NP5EG
????-????-???? | IIZ9Z-CAICQ-OBIM4-HDR7G
####-####-#### | MRMBQ-6ZEMJ-7NKIN-71ESJ
%%%%-%%%%-%%%% | 6Q207-U4HCI-WRLEE-8PXSD
****-****-**** | 1YXXM-KN6A2-WOP4U-TADUQ
####-####-#### | B2ZB8-1XKQV-07DFF-B5W7J
????-????-???? | 402KC-PFTRO-40BJO-TPA07
####-####-#### | KIYX3-T4JMS-I2TOY-144ZH
####-####-#### | B2A5T-YMM8O-D1I1X-SX0KQ
????-????-???? | JT3BQ-1ANCT-ISZ9G-D05F2
????-####-%%%% | RY5TZ-GEBCR-WO0KD-DMQ73
????-????-???? | 7NNQL-KOA48-Z3RVG-TMBC5
%%%%-%%%%-%%%% | EQVW5-8VOD5-7F4CD-UEM7V
%%%%-%%%%-%%%% | 3WHZJ-BEFKD-SV7A4-VTOVI
????-####-%%%% | QIIAR-YGQ9I-E96VX-ARICR
????-????-???? | 9770G-9CV6T-NY68Y-D2VC7
????-????-???? | GYY3Y-UVLPL-9I0HZ-ZSZ8H
????-####-%%%% | ZKQHB-J6GSO-FZV3H-B5TXK
####-####-#### | 3V7YG-GURB3-QDC3I-JHV60
????-####-%%%% | 45HSR-IS6B4-WE6N5-XEYR1
****-****-**** | PMZZ3-2L6XD-LD8HX-72Z1K
????-####-%%%% | AUGBM-IBCIY-IGRLG-EZYJU
####-####-#### | EG6J5-CJWHG-9TGN5-XEPT9
****-****-**** | YLABV-3CHEN-PAO40-S7DQC
%%%%-%%%%-%%%% | JP9AP-A8CT4-VO09K-TZHZJ
????-????-???? | 7BEAE-W6ELN-N0FJ6-Z0VP3
****-****-**** | FKH2B-Q858N-FSHAQ-IGP3T
????-####-%%%% | F23SW-5XG8B-TCLIV-TQNDU
####-####-#### | VYBXM-KZDAI-W79O4-AXYE5
%%%%-%%%%-%%%% | 57L7A-1P0CZ-TOJ7L-VWUSH
????-####-%%%% | QE0B2-FWINT-HU4V8-S9LIH
****-****-**** | 9WRHH-DAC59-0OVLJ-FRVQ4
????-####-%%%% | E6J7S-NOD30-TDZPO-BZD52
